ensemblID	GeneName	ProteinName	Description	protein_length	protein1	protein2	mRNA1	mRNA2
ENSMUST00000065509;ENSMUST00000101304	Kdm3a;Jhdm2a;Jmjd1a;Kiaa0742	Lysine-specific demethylase 3A;JmjC domain-containing histone demethylation protein 2A;Jumonji domain-containing protein 1A	Isoform 1 of Lysine-specific demethylase 3A	1323	263.28	568.23	8.88	10.37
ENSMUST00000043531;ENSMUST00000109346	Fam65a;Kiaa1930	Protein FAM65A	140 kDa protein;Protein FAM65A	1293	269.34	840.59	7.73	13.69
ENSMUST00000027178;ENSMUST00000114254	Als2	Alsin;Amyotrophic lateral sclerosis protein 2 homolog	Isoform 1 of Alsin	1651	306.08	159.24	4.62	5.57
ENSMUST00000090398;ENSMUST00000073687	Dlg5	Putative uncharacterized protein	discs large homolog 5 isoform 1;discs large homolog 5 isoform 2	1921	340.66	115.81	8.72	10.86
ENSMUST00000088420;ENSMUST00000097373;ENSMUST00000097374;ENSMUST00000115290;ENSMUST00000115291;ENSMUST00000115292;ENSMUST00000115294	Tsc2	Tuberin;Tuberous sclerosis 2 homolog protein;Putative uncharacterized protein	Putative uncharacterized protein;198 kDa protein;Putative uncharacterized protein;tuberous sclerosis 2 isoform 2;Isoform G of Tuberin;Isoform D of Tuberin;Isoform A of Tuberin;Isoform B of Tuberin;Isoform C of Tuberin	1808	353.9	287.42	10.74	11.09
ENSMUST00000034728;ENSMUST00000049745;ENSMUST00000086329	Dock6;Kiaa1395	Dedicator of cytokinesis protein 6	dedicator of cytokinesis 6;Isoform 1 of Dedicator of cytokinesis protein 6	2111	359.24	57.18	3.35	3.58
ENSMUST00000023580	Usp25	Ubiquitin carboxyl-terminal hydrolase 25;Ubiquitin thioesterase 25;Ubiquitin-specific-processing protease 25;Deubiquitinating enzyme 25	Ubiquitin carboxyl-terminal hydrolase 25	1055	363.64	471.88	7.04	7.87
ENSMUST00000058033;ENSMUST00000100008	Acap2;Centb2;Kiaa0041	"ARFGAP with coiled-coil, ANK repeat and PH domain-containing protein 2;Centaurin-beta-2"	"Isoform 1 of Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2;Isoform 2 of Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2"	770	367.71	4075.96	6.85	9.21
ENSMUST00000089297;ENSMUST00000109627;ENSMUST00000089299	Cbx6;Nptxr;Npcd	Chromobox protein homolog 6;Neuronal pentraxin 1.4 kb variant	Chromobox protein homolog 6;neuronal pentraxin with chromo domain isoform 2	673	372.02	436.75	46.13	56.97
ENSMUST00000051446;ENSMUST00000095573	Jmjd1c;Jhdm2c;Kiaa1380	Probable JmjC domain-containing histone demethylation protein 2C;Jumonji domain-containing protein 1C	jumonji domain containing 1C;Isoform 2 of Probable JmjC domain-containing histone demethylation protein 2C	2530	373.19	86.34	10.62	13.17
ENSMUST00000078886;ENSMUST00000105787;ENSMUST00000105786	Spen;RP23-308N2.11-001;RP23-308N2.11-002;Kiaa0929;Mint;Sharp	"SPEN homolog, transcriptional regulator (Drosophila);Msx2-interacting protein;SPEN homolog;SMART/HDAC1-associated repressor protein"	"SPEN homolog, transcriptional regulator;SPEN homolog, transcriptional regulator;Isoform 1 of Msx2-interacting protein;Isoform 2 of Msx2-interacting protein;Isoform 3 of Msx2-interacting protein"	3644	374.13	527.59	6.12	5.02
ENSMUST00000023352	Prkdc;Xrcc7	DNA-dependent protein kinase catalytic subunit;P460	Isoform 1 of DNA-dependent protein kinase catalytic subunit	4128	383.9	388.99	1.76	2.63
ENSMUST00000078747;ENSMUST00000090300	Lkap;Kiaa0430	Limkain-b1	limkain b1;Isoform 1 of Limkain-b1;Isoform 3 of Limkain-b1	1736	397.7	139.97	6.29	7.82
ENSMUST00000024987;ENSMUST00000115180;ENSMUST00000115181	Telo2;Kiaa0683	Telomere length regulation protein TEL2 homolog	Isoform 1 of Telomere length regulation protein TEL2 homolog;Isoform 2 of Telomere length regulation protein TEL2 homolog	840	406.35	1236.62	7.11	8.55
ENSMUST00000037526	Tanc1	"Protein TANC1;Tetratricopeptide repeat, ankyrin repeat and coiled-coil domain-containing protein 1"	Isoform 1 of Protein TANC1;Isoform 2 of Protein TANC1	1856	414.69	647.68	7.04	10.98
ENSMUST00000018645;ENSMUST00000101067;ENSMUST00000037575	Ncor1;Rxrip13;RP23-330N10.2-002;RP23-330N10.2-003	Nuclear receptor corepressor 1;Retinoid X receptor-interacting protein 13;Putative uncharacterized protein;Nuclear receptor co-repressor 1	"Nuclear receptor co-repressor 1, isoform CRA_a;nuclear receptor co-repressor 1;Nuclear receptor co-repressor 1;Isoform 2 of Nuclear receptor corepressor 1;RIP-13"	2454	417.91	783.15	13.37	18.49
ENSMUST00000063562	Mipep	Mitochondrial intermediate peptidase	Mitochondrial intermediate peptidase;64 kDa protein;similar to Mipep protein	713	447.29	523.65	4.12	3.47
ENSMUST00000091978;ENSMUST00000115812	Pik3c3	Phosphatidylinositol 3-kinase catalytic subunit type 3;Phosphoinositide-3-kinase class 3	Isoform 1 of Phosphatidylinositol 3-kinase catalytic subunit type 3;Isoform 2 of Phosphatidylinositol 3-kinase catalytic subunit type 3;86 kDa protein	887	452.59	385.69	3.56	4.34
ENSMUST00000040043	Lats1;Warts	Large tumor suppressor;Lats1 protein;Serine/threonine-protein kinase LATS1;Large tumor suppressor homolog 1;WARTS protein kinase	"large tumor supressor, homolog 1;Serine/threonine-protein kinase LATS1"	1129	457.61	6066.18	7.23	7.29
ENSMUST00000006061;ENSMUST00000121291	Pex1	Peroxisome biogenesis factor 1;Peroxin-1	Isoform 1 of Peroxisome biogenesis factor 1;Isoform 2 of Peroxisome biogenesis factor 1	1284	460.59	103.89	4.4	6.79
ENSMUST00000029374;ENSMUST00000107943;ENSMUST00000107951	Nbea;Lyst2	Neurobeachin;Lysosomal-trafficking regulator 2	Isoform 1 of Neurobeachin;Isoform 4 of Neurobeachin;Isoform 3 of Neurobeachin	2936	464.02	2346.17	25.7	43.05
ENSMUST00000072018	Alms1;Kiaa0328	Alstrom syndrome protein 1 homolog	Isoform 1 of Alstrom syndrome protein 1 homolog	3251	471.91	440.95	3.47	2.65
ENSMUST00000039876	Mycbp2;Pam;Phr1	Probable E3 ubiquitin-protein ligase MYCBP2;Myc-binding protein 2;Protein associated with Myc;Pam/highwire/rpm-1 protein	"pam, highwire, rpm 1;Isoform 2 of Probable E3 ubiquitin-protein ligase MYCBP2"	4746	476.64	25.23	8.39	8.08
ENSMUST00000043863;ENSMUST00000101153	Iqsec1;Kiaa0763	IQ motif and SEC7 domain-containing protein 1	IQ motif and Sec7 domain 1 isoform b;Isoform 1 of IQ motif and SEC7 domain-containing protein 1	1099	492.69	24.55	6.81	9.86
ENSMUST00000029563;ENSMUST00000098924;ENSMUST00000107404;ENSMUST00000107405	Adar	Double-stranded RNA-specific adenosine deaminase;RNA adenosine deaminase 1	Isoform 1 of Double-stranded RNA-specific adenosine deaminase;Isoform 2 of Double-stranded RNA-specific adenosine deaminase;Isoform 5 of Double-stranded RNA-specific adenosine deaminase	1178	495.38	3620.42	10.35	12.92
ENSMUST00000035037	Pik3cb	"Pik3cb protein;Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta isoform;PI3-kinase p110 subunit beta;PtdIns-3-kinase p110;PI3Kbeta"	"catalytic phosphatidylinositol 3-kinase beta;Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta isoform"	1064	528.36	3659.17	9.3	8.35
ENSMUST00000043138;ENSMUST00000098007	Inpp5f;Kiaa0966;Sac2	Phosphatidylinositide phosphatase SAC2;Sac domain-containing inositol phosphatase 2;Sac domain-containing phosphoinositide 5-phosphatase 2;Inositol polyphosphate 5-phosphatase F	Isoform 1 of Phosphatidylinositide phosphatase SAC2;Isoform 2 of Phosphatidylinositide phosphatase SAC2	1132	534.36	2057.84	4.69	4.91
ENSMUST00000036253;ENSMUST00000100498	Tnrc18;Kiaa1856;Zfp469	Trinucleotide repeat-containing gene 18 protein;Zinc finger protein 469	Isoform 1 of Trinucleotide repeat-containing gene 18 protein;trinucleotide repeat containing 18 isoform A;Isoform 2 of Trinucleotide repeat-containing gene 18 protein	2878	535.54	95.51	13.41	16.4
ENSMUST00000096241	Eml3	Echinoderm microtubule-associated protein-like 3	Echinoderm microtubule-associated protein-like 3	897	541.54	1071.39	17.39	18.09
ENSMUST00000113869	Tsc1;Kiaa0243	Hamartin;Tuberous sclerosis 1	Isoform 1 of Hamartin;Isoform 2 of Hamartin;Isoform 3 of Hamartin;Isoform 4 of Hamartin	1161	542.41	349.22	3.78	4.02
ENSMUST00000108222;ENSMUST00000050446	RP23-136P3.1;RP23-136P3.1-001;F730047E07Rik	Novel protein;Putative uncharacterized protein	hypothetical protein LOC212377;Putative uncharacterized protein	1238	552.21	110.5	8.07	7.53
ENSMUST00000023226;ENSMUST00000054449;ENSMUST00000071869;ENSMUST00000072692;ENSMUST00000073418;ENSMUST00000074834;ENSMUST00000076355;ENSMUST00000076442;ENSMUST00000080857;ENSMUST00000089610	Plec1	Plectin-1;Plectin-6	Isoform PLEC-0 of Plectin-1;Isoform PLEC-1B of Plectin-1;Isoform PLEC-1D of Plectin-1;Isoform PLEC-1H of Plectin-1	4589	558.29	528.33	100.49	142.63
ENSMUST00000026190	Loxl4;Loxc	Lysyl oxidase-like 4;Lysyl oxidase homolog 4;Lysyl oxidase-like protein 4;Lysyl oxidase-related protein C	lysyl oxidase-like 4 isoform 1;Lysyl oxidase homolog 4	758	569.88	1037.34	18.98	19.26
ENSMUST00000048988;ENSMUST00000067584	Znfx1;RP23-19L12.5-001;mCG_14615;RP23-19L12.5-004	"Zinc finger, NFX1-type containing 1;MCG14615;NFX1-type zinc finger-containing protein 1"	"zinc finger, NFX1-type containing 1;NFX1-type zinc finger-containing protein 1;Zinc finger, NFX1-type containing 1"	1909	614.21	8661.44	3.81	4.09
ENSMUST00000052602;ENSMUST00000097873;ENSMUST00000106051	Kiaa1522	Uncharacterized protein KIAA1522	Isoform 2 of Uncharacterized protein KIAA1522;Isoform 4 of Uncharacterized protein KIAA1522;Isoform 1 of Uncharacterized protein KIAA1522;Isoform 3 of Uncharacterized protein KIAA1522	1070	616.71	5884.09	13.29	18.04
ENSMUST00000041055	Atg2b	Autophagy-related protein 2 homolog B	Isoform 1 of Autophagy-related protein 2 homolog B	2075	618.32	1250.55	4.52	5.73
ENSMUST00000028119	Mastl	Microtubule-associated serine/threonine-protein kinase-like	microtubule associated serine/threonine kinase-like;Isoform 1 of Microtubule-associated serine/threonine-protein kinase-like	865	630.37	8900.24	4.75	3.52
ENSMUST00000079360;ENSMUST00000036802;ENSMUST00000111544;ENSMUST00000111526;ENSMUST00000111528;ENSMUST00000111529	Ablim1;Ablim;Kiaa0059	Actin-binding LIM protein 1;Actin-binding LIM protein family member 1;Putative uncharacterized protein;Ablim1 protein	Isoform 1 of Actin-binding LIM protein 1;87 kDa protein;Ablim1 protein;Isoform 3 of Actin-binding LIM protein 1;84 kDa protein;80 kDa protein;Isoform 2 of Actin-binding LIM protein 1;77 kDa protein;Putative uncharacterized protein;52 kDa protein;49 kDa pro	861	674.82	1055.74	5.51	5.57
ENSMUST00000107353	Znf592;Kiaa0211;Zfp592	Zinc finger protein 592	Zinc finger protein 592	1262	675.56	1305.34	7.05	9.42
ENSMUST00000025058;ENSMUST00000088027;ENSMUST00000097358;ENSMUST00000114842	Anks1;RP23-31O23.1-002;Anks1a;Kiaa0229	Ankyrin repeat and SAM domain containing 1;Putative uncharacterized protein;Ankyrin repeat and SAM domain-containing protein 1A	Putative uncharacterized protein;Isoform 2 of Ankyrin repeat and SAM domain-containing protein 1A;Isoform 1 of Ankyrin repeat and SAM domain-containing protein 1A	1189	675.69	2737.64	2.75	3.12
ENSMUST00000032627;ENSMUST00000094359	Tubgcp5;Kiaa1899	Gamma-tubulin complex component 5	Isoform 1 of Gamma-tubulin complex component 5;Isoform 2 of Gamma-tubulin complex component 5;Isoform 3 of Gamma-tubulin complex component 5	1024	677.3	50.78	8.74	8.84
ENSMUST00000094889;ENSMUST00000120129	6030436E02Rik	Putative uncharacterized protein	hypothetical protein LOC215476	1971	684.29	9129.85	7.05	5.26
ENSMUST00000064469;ENSMUST00000113567	Obsl1;AW822216;mKIAA0657	MKIAA0657 protein	obscurin-like 1;114 kDa protein;MKIAA0657 protein	1804	688.67	2348.06	6.59	8.66
ENSMUST00000096318	Gm962	"Gene model 962, (NCBI);Putative uncharacterized protein"	Putative uncharacterized protein	876	692.05	441.34	3.37	4.48
ENSMUST00000000821;ENSMUST00000108075	Usp32	Putative uncharacterized protein	ubiquitin specific protease 32	1604	693.79	1768.09	6.84	6.58
ENSMUST00000027290	Tmem131;D1Bwg0491e;Kiaa0257;Rw1	Transmembrane protein 131;Protein RW1	transmembrane protein 131;similar to transmembrane protein 131	1877	700.9	229.21	16.26	18.52
ENSMUST00000068700	Wdr6	Putative uncharacterized protein	Putative uncharacterized protein	1125	713.07	6507.82	15.5	20.12
ENSMUST00000049658;ENSMUST00000100022	Pitpnm1;Dres9;Mpt1;Nir2;Pitpnm	"Membrane-associated phosphatidylinositol transfer protein 1;Phosphatidylinositol transfer protein, membrane-associated 1;Mpt-1;Pyk2 N-terminal domain-interacting receptor 2;Drosophila retinal degeneration B homolog 1"	Membrane-associated phosphatidylinositol transfer protein 1	1243	723.1	163.63	19.49	15.59
ENSMUST00000021918	Ror2	"Putative uncharacterized protein;Tyrosine-protein kinase transmembrane receptor ROR2;Neurotrophic tyrosine kinase, receptor-related 2;Ror2 protein"	Putative uncharacterized protein;Tyrosine-protein kinase transmembrane receptor ROR2;Ror2 protein	944	729.26	856.35	7.34	13.96
ENSMUST00000074919;ENSMUST00000092112	Wac;Kiaa1844	WW domain-containing adapter protein with coiled-coil	Isoform 1 of WW domain-containing adapter protein with coiled-coil;Isoform 2 of WW domain-containing adapter protein with coiled-coil;Isoform 3 of WW domain-containing adapter protein with coiled-coil;similar to WW domain-containing adapter protein with co	646	732.04	132.28	8.56	8.59
ENSMUST00000023538;ENSMUST00000114930	Mylk	"Myosin light chain kinase, smooth muscle;Telokin;Kinase-related protein"	"myosin, light polypeptide kinase;Isoform 3 of Myosin light chain kinase, smooth muscle;Isoform 2 of Myosin light chain kinase, smooth muscle"	1950	736.42	1655.84	4.7	7.77
ENSMUST00000035350;ENSMUST00000094376	Aftph;Afth	Aftiphilin	Isoform 1 of Aftiphilin;Isoform 2 of Aftiphilin	931	740.44	92.16	12.13	13.57
ENSMUST00000025920;ENSMUST00000066646	Rcor2	REST corepressor 2;M-CoREST	REST corepressor 2;REST corepressor 2	523	744.85	632.25	11	8.34
ENSMUST00000022358	Kiaa0913	Zinc finger SWIM domain-containing protein KIAA0913	Isoform 1 of Zinc finger SWIM domain-containing protein KIAA0913;Isoform 3 of Zinc finger SWIM domain-containing protein KIAA0913;Isoform 2 of Zinc finger SWIM domain-containing protein KIAA0913	1832	745.45	116.46	14.67	15.64
ENSMUST00000068664;ENSMUST00000114096;ENSMUST00000114098	Neo1;Ngn	Neogenin	Isoform 1 of Neogenin;Isoform 4 of Neogenin;Isoform 3 of Neogenin;Isoform 2 of Neogenin;Isoform 5 of Neogenin	1493	769.1	937.25	16.46	21.23
ENSMUST00000098640;ENSMUST00000038890;ENSMUST00000089035	F730015K02Rik;Dennd4a;AI115600;mKIAA4082	Putative uncharacterized protein;MKIAA4082 protein	DENN/MADD domain containing 4A;MKIAA4082 protein (Fragment);Putative uncharacterized protein;Putative uncharacterized protein	1869	769.11	118.19	3.42	2.81
ENSMUST00000051512;ENSMUST00000100845;ENSMUST00000117392	Wdr81	WD repeat-containing protein 81	WD repeat domain 81	1934	784.24	1355.64	6.19	9.3
ENSMUST00000046266;ENSMUST00000110294	C130039O16Rik	Putative uncharacterized protein	hypothetical protein LOC238317	1089	785.16	628.71	4.4	6.74
ENSMUST00000048309	Camsap1l1;mCG_130966;Kiaa1078	"Camsap1l1 protein;MCG130966, isoform CRA_b;Calmodulin-regulated spectrin-associated protein 1-like protein 1"	calmodulin regulated spectrin-associated protein 1-like 1;Isoform 2 of Calmodulin-regulated spectrin-associated protein 2;Isoform 1 of Calmodulin-regulated spectrin-associated protein 2	1478	786.7	3002.37	7.9	10.08
ENSMUST00000028977	Kif3b	Kinesin-like protein KIF3B;Microtubule plus end-directed kinesin motor 3B	Kinesin-like protein KIF3B	747	788.03	730.34	5.53	7.14
ENSMUST00000080469;ENSMUST00000115442;ENSMUST00000115443	Met	Hepatocyte growth factor receptor;Scatter factor receptor;HGF/SF receptor;Met proto-oncogene tyrosine kinase;c-Met	Hepatocyte growth factor receptor	1379	802.81	1005.58	8.38	8.97
ENSMUST00000077935;ENSMUST00000079553;ENSMUST00000090037;ENSMUST00000080683	Trps1;mCG_20645	"Zinc finger transcription factor Trps1;Putative uncharacterized protein;Trps1 protein;Trichorhinophalangeal syndrome I (Human), isoform CRA_c;Trichorhinophalangeal syndrome I (Human), isoform CRA_a"	"Zinc finger transcription factor Trps1;zinc finger transcription factor TRPS1;similar to Trps1 protein isoform 1;Trichorhinophalangeal syndrome I (Human), isoform CRA_c;Trichorhinophalangeal syndrome I (Human), isoform CRA_a;Putative uncharacterized protei"	1281	804.31	455.51	2.84	3.1
ENSMUST00000004494;ENSMUST00000109950	Sin3b;Kiaa0700	Paired amphipathic helix protein Sin3b;Transcriptional corepressor Sin3b;Histone deacetylase complex subunit Sin3b	Isoform 4 of Paired amphipathic helix protein Sin3b;Isoform 1 of Paired amphipathic helix protein Sin3b;Isoform 3 of Paired amphipathic helix protein Sin3b;Isoform 2 of Paired amphipathic helix protein Sin3b	1098	820.15	73.67	14.03	14.01
ENSMUST00000025197	Tap2;Abcb3;Ham-2;Ham2	Antigen peptide transporter 2;ATP-binding cassette sub-family B member 3;Histocompatibility antigen modifier 2	TAP2	703	822.64	13539.13	17.13	25.33
ENSMUST00000089874	Mcc	Putative uncharacterized protein	mutated in colorectal cancers isoform 2;mutated in colorectal cancers isoform 1	828	826.07	590.51	6.52	8.16
ENSMUST00000017694	Atad5;Frag1	ATPase family AAA domain-containing protein 5;Chromosome fragility-associated gene 1 protein	Isoform 1 of ATPase family AAA domain-containing protein 5	1826	839.24	870.95	6.81	6.33
ENSMUST00000002291	Paxip1;Ptip	PAX-interacting protein 1;PAX transactivation activation domain-interacting protein	PAX-interacting protein 1	1056	846.06	11495.7	15.26	13.93
ENSMUST00000027498	Stk25;Sok1	Putative uncharacterized protein;Serine/threonine-protein kinase 25;Sterile 20/oxidant stress-response kinase 1;Ste20-like kinase	serine/threonine kinase 25;26 kDa protein;Serine/threonine-protein kinase 25	426	846.12	5301.51	10.99	11.19
ENSMUST00000033967	Slit2	Slit homolog 2 protein;Slit homolog 2 protein N-product;Slit homolog 2 protein C-product	Slit homolog 2 protein	1521	853.98	1261.14	17.4	29.83
ENSMUST00000078589		Uncharacterized protein C16orf61 homolog	Uncharacterized protein C16orf61 homolog;6 kDa protein	79	864.24	2167.4	6.55	4.56
ENSMUST00000077955	Ccdc102a	Coiled-coil domain-containing protein 102A	Coiled-coil domain-containing protein 102A	549	865.77	7247.13	3.36	3.49
ENSMUST00000071680;ENSMUST00000096495	Med14;Crsp2;Gm641;Trap170	Mediator of RNA polymerase II transcription subunit 14;Mediator complex subunit 14;Cofactor required for Sp1 transcriptional activation subunit 2;CRSP complex subunit 2;Thyroid hormone receptor-associated protein complex 170 kDa component	"Isoform 1 of Mediator of RNA polymerase II transcription subunit 14;cofactor required for Sp1 transcriptional activation, subunit 2 isoform b;Mediator complex subunit 14;Isoform 3 of Mediator of RNA polymerase II transcription subunit 14"	1459	867.2	7849.73	10.39	8.32
ENSMUST00000089027;ENSMUST00000109796	Tm9sf4;Kiaa0255	Transmembrane 9 superfamily member 4	82 kDa protein;Transmembrane 9 superfamily member 4	710	871.39	3952.16	15.61	17.09
ENSMUST00000040668	Osbpl2	Oxysterol-binding protein-related protein 2	Oxysterol-binding protein-related protein 2	484	873.6	18175.39	17.49	20.41
ENSMUST00000034407	Wwp2	NEDD4-like E3 ubiquitin-protein ligase WWP2;WW domain-containing protein 2	NEDD4-like E3 ubiquitin-protein ligase WWP2	870	873.84	3135.24	19.99	34.4
ENSMUST00000064371;ENSMUST00000098772;ENSMUST00000121198	Magi3;Kiaa1634	"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 3;Membrane-associated guanylate kinase inverted 3"	"165 kDa protein;Isoform 1 of Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 3;Isoform 2 of Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 3;Protein;Protein"	1505	886.01	372.12	10.83	11.42
ENSMUST00000071935;ENSMUST00000098648	Myo9b;Myr5	Myosin-IXb;Unconventional myosin-9b	Isoform 2 of Myosin-IXb;myosin IXb isoform 1;Isoform 1 of Myosin-IXb;myosin IXb isoform 2;Isoform 3 of Myosin-IXb	2143	898.69	457.95	13.38	15.91
ENSMUST00000039061		UPF0636 protein C4orf41 homolog	Isoform 1 of UPF0636 protein C4orf41 homolog	1133	903.6	384.46	7.45	9.4
ENSMUST00000035519;ENSMUST00000090785;ENSMUST00000098849	Otud7b;mCG_122520	"OTU domain containing 7B;OTU domain containing 7B, isoform CRA_a"	"zinc finger, A20 domain containing 1"	840	907.31	1212.06	7.8	11.19
ENSMUST00000034391;ENSMUST00000095517	Cog8;MNCb-5704	Conserved oligomeric Golgi complex subunit 8;Component of oligomeric Golgi complex 8;Putative uncharacterized protein	Conserved oligomeric Golgi complex subunit 8;component of oligomeric golgi complex 8	640	909.76	1944.48	8.13	9.64
ENSMUST00000092432;ENSMUST00000054167;ENSMUST00000092434;ENSMUST00000047061	Ank3;ANK3	Brain-specific ankyrin-G;Ankyrin-3;Ankyrin 3	"Brain-specific ankyrin-G;ankyrin 3, epithelial isoform b;ankyrin 3, epithelial isoform d;ankyrin 3, epithelial isoform e;ankyrin 3, epithelial isoform h;ankyrin 3, epithelial isoform c;ankyrin 3, epithelial isoform a"	4331	919.27	36.24	2.26	4.08
ENSMUST00000020449	Helb	DNA helicase B	DNA helicase B;65 kDa protein	1074	932.04	188.18	3.46	3.79
ENSMUST00000061377;ENSMUST00000091268;ENSMUST00000114167	Camsap1	Calmodulin-regulated spectrin-associated protein 1	Isoform 1 of Calmodulin-regulated spectrin-associated protein 1;Isoform 2 of Calmodulin-regulated spectrin-associated protein 1	1581	934.96	2680.1	7.92	6.88
ENSMUST00000020112	Uhrf1bp1l;Kiaa0701	UHRF1-binding protein 1-like	UHRF1-binding protein 1-like	1457	942.14	33.28	12.3	10.21
ENSMUST00000027040	Rb1cc1;Cc1;Kiaa0203;mKIAA0203	RB1-inducible coiled-coil protein 1;Coiled-coil-forming protein 1;LaXp180 protein;MKIAA0203 protein	RB1-inducible coiled-coil protein 1;MKIAA0203 protein;Protein	1588	942.18	761.3	7.73	9.54
ENSMUST00000115746;ENSMUST00000115748;ENSMUST00000004428	Clcn5;RP23-146I4.3-004;Clc5	Chloride channel 5;H(+)/Cl(-) exchange transporter 5;Chloride transporter ClC-5;Chloride channel protein 5	Chloride channel 5;H(+)/Cl(-) exchange transporter 5	816	954.06	169.66	4.29	5.02
